id_koi,f18_ror,f18_steff_err2,f18_prad,f18_steff,f18_srad_err,f18_smass_err1,f18_srho_err2,f18_steff_err1,f18_ror_err2,f18_ror_err1,f18_period,f18_srho_err1,f18_smass,f18_prad_err,f18_srad,id_koi,id_koicand,f18_srho,f18_smass_err2,id_kic,v18_Kepler,v18_ecc,v18_period,v18_prad,v18_rovera,v18_ror,v18_smass,v18_srad,v18_srho,v18_steff,v18_smet,v18_kepmag,v18_relrho,v18_impact,v18_ld1,v18_ld2,v18_ecc_err1,v18_ecc_err2,v18_period_err1,v18_period_err2,v18_prad_err1,v18_prad_err2,v18_rovera_err1,v18_rovera_err2,v18_ror_err1,v18_ror_err2,v18_smass_err1,v18_smass_err2,v18_srad_err1,v18_srad_err2,v18_srho_err1,v18_srho_err2,v18_steff_err1,v18_steff_err2,v18_smet_err1,v18_smet_err2,v18_relrho_err1,v18_relrho_err2,v18_impact_err1,v18_impact_err2,v18_ld1_err1,v18_ld1_err2,v18_ld2_err1,v18_ld2_err2,v18_sample,dr25_BB1_cum,dr25_BB1_cum_err1,dr25_BB1_cum_err2,dr25_EP1_cum,dr25_EP1_cum_err1,dr25_EP1_cum_err2,dr25_PE1_cum,dr25_PE1_cum_err1,dr25_PE1_cum_err2,dr25_RD1_cum,dr25_RD1_cum_err1,dr25_RD1_cum_err2,dr25_RHO_cum,dr25_RHO_cum_err1,dr25_RHO_cum_err2,dr25_TAU1_cum,dr25_TAU1_cum_err1,dr25_TAU1_cum_err2,dr25_ZPT_cum,dr25_ZPT_cum_err1,dr25_ZPT_cum_err2,fgraz,f18_tau0,dr25_tau,multi,x,dr25_prad,dr25_prad_err
41,0.009209,60,1.536,5854,0.034,0.072,-0.01,60,-0.000349,0.002335,35.3330866,0.02,1.097,0.232,1.526,41,K00041.03,0.31,-0.03,6521045,Kepler-100d,0.379123088186,35.3331295444,1.5132314689,0.0321916291644,0.00916856383997,1.1093,1.51312,0.45422891,5902.77,0.104,11.197,0.401741226408,0.549932117156,0.456965750828,0.22725546248,0.124537420791,-0.160334514938,35.3335621375,-35.3335621375,1.54716522174,-1.54716522174,0.000137953229783,-0.000101105073847,0.000384614903879,-0.000197728880866,0.02,-0.02,0.0093,-0.01127,0.00430685,-0.00578993,53.27,-66.37,0.064,-0.107,0.116707985121,-0.114934077897,0.197999540051,-0.332309654306,0.0378786190755,-0.0337565741274,0.0517993709599,-0.0468866273613,m,0.322344596348,0.288103052376,-0.219251506979,86.9813463771,0.00490490418797,-0.0049877241881,35.3332333273,0.000228093713901,-0.000227827461345,0.00919801923259,0.000376335636325,-0.000233633665591,1.24747573972,0.219041933676,-0.506230204455,5.85296713913,0.125345087174,-0.129145794255,-1.10764043163e-08,5.92114034215e-07,-5.8949854216e-07,0.0,9.87152845373,5.85296713913,False,35.3330866,1.52994333103,0.0611182930591
46,0.033018,60,5.97,5661,0.047,0.033,-0.03,60,-7.5e-05,0.000203,3.487689428,0.02,1.244,0.168,1.655,46,K00046.01,0.28,-0.094,10905239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164900497855,0.146351186172,-0.115584252626,103.932230304,0.000260985707612,-0.000254386022561,3.48768870167,1.1112420526e-06,-1.15059608108e-06,0.0325363160941,0.000288074403988,-0.000117496535515,0.556253234211,0.0203838994732,-0.05673824537,3.70137032196,0.00777250594907,-0.00815463580562,-4.47611872196e-08,1.42490086886e-06,-1.42593374554e-06,0.0,4.71959100617,3.70137032196,,3.487689428,5.86938874179,0.170650549335
46,0.006862,60,1.241,5661,0.047,0.033,-0.03,60,-0.000539,0.000255,6.02979518,0.02,1.244,0.08,1.655,46,K00046.02,0.28,-0.094,10905239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323105870943,0.291026455965,-0.223005350304,65.4815947965,0.00777939806592,-0.00764656117651,6.02975828839,6.3033318054e-05,-6.44783625967e-05,0.00672972358664,0.000431016341637,-0.00037009434167,0.67351680989,0.204520605936,-0.268407710176,3.93175081689,0.224359025602,-0.233891656591,-1.47729680665e-07,1.37780163343e-06,-1.34140162156e-06,0.0,5.66447002961,3.93175081689,,6.02979518,1.21400848641,0.0800616328868
49,0.025915,60,3.648,5779,0.032,0.027,-0.02,60,-0.00029,0.000346,8.313783059,0.02,0.948,0.099,1.289,49,K00049.01,0.44,-0.025,9527334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304392614277,0.285632233818,-0.206653658586,108.990442366,0.00391804833382,-0.00426545026485,8.31378521384,4.37750987867e-05,-4.21470797054e-05,0.0267071224073,0.00116935597129,-0.000945824806417,2.4364514246,0.539876492525,-0.925158151131,2.88611617505,0.119140189239,-0.116956507739,-1.59977199568e-06,2.06609698938e-05,-2.01954830834e-05,0.0,5.42283567039,2.88611617505,,8.313783059,3.75237740535,0.175378115641
63,0.058246,60,5.643,5673,0.021,0.005,-0.02,60,-0.000696,0.001342,9.434151089,0.02,1.007,0.168,0.887,63,K00063.01,1.35,-0.01,11554435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.320815125406,0.276599609752,-0.218146470387,110.843451656,0.00180217790786,-0.00179399625686,9.43414164461,2.20181333486e-05,-2.1915155493e-05,0.0578486299772,0.00231276773528,-0.00127930140862,3.838910379,0.65100158818,-1.49211350833,2.59241301609,0.0562273215104,-0.0544243957817,-1.41802429753e-06,4.38414580337e-05,-4.31633639676e-05,0.0,3.89254934364,2.59241301609,,9.434151089,5.59297909209,0.218373087449
69,0.015858,60,1.629,5594,0.022,0.034,-0.05,60,-0.000809,0.000197,4.726739475,0.06,0.874,0.064,0.941,69,K00069.01,1.04,-0.026,3544595,Kepler-93,0.0171359660715,4.72673929585,1.47531647906,0.0801829715234,0.0148632273844,0.89,0.91,1.64247252151,5669.0,-0.18,9.931,0.999090891871,0.206729617902,0.433345513503,0.177355492139,0.162369203272,-0.0171356150978,4.72674015765,-4.72674015765,1.50803671736,-1.50803671736,0.000818727559276,-0.00078659891894,9.94358802196e-05,-4.42174409554e-05,0.07,-0.07,0.02,-0.02,0.0493023484159,-0.0493023484159,75.0,-75.0,0.1,-0.1,0.0524518384516,-0.0775476288574,0.0791375592043,-0.166438283779,0.0307223805565,-0.0294211231437,0.0453189110449,-0.046167445756,s,0.3833929909,0.251475844897,-0.247510482466,67.9264270734,0.000268429344018,-0.000273550843914,4.72674006993,1.62186417629e-06,-1.55284381176e-06,0.0152265471374,0.00062944075927,-0.000226671538436,1.36306032491,0.310203970928,-0.555749252804,2.84471296297,0.00887691630037,-0.0105480570728,-5.23053882842e-09,4.36423332266e-07,-4.49859913724e-07,0.0,3.37251494208,2.84471296297,,4.726739475,1.56177171334,0.0571042270571
70,0.029956,60,2.88,5508,0.021,0.02,-0.05,60,-0.000609,0.001821,10.854097835,0.05,0.942,0.134,0.88,70,K00070.01,1.36,-0.026,6850504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296526607023,0.202338026033,-0.195804499693,71.6080189434,0.000383445137572,-0.000379625910028,10.8540960212,5.10279153509e-06,-5.04040017901e-06,0.0292289116474,0.000710995319923,-0.000282226184137,1.64656995449,0.210255637362,-0.411724763335,3.64386112792,0.0108886273059,-0.0110697644737,-4.01784275206e-09,7.81467946266e-07,-7.76868672487e-07,0.0,4.06876601018,3.64386112792,,10.854097835,2.80363720522,0.0821301418403
70,0.020874,60,2.007,5508,0.021,0.02,-0.05,60,-0.002266,0.001408,3.696119675,0.05,0.942,0.183,0.88,70,K00070.02,1.36,-0.026,6850504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268310721992,0.254410964464,-0.182351177348,67.5014426065,0.00056368088957,-0.00053749850963,3.69612087184,2.38312274981e-06,-2.46988231156e-06,0.0178145508441,0.000535757996016,-0.000176685689233,1.98452471304,0.205523641951,-0.597809922853,2.40969383051,0.017080975387,-0.0161763856022,-9.78307338512e-09,8.03511236336e-07,-8.11234694202e-07,0.0,2.84127636751,2.40969383051,False,3.696119675,1.70877171697,0.0532006757711
70,0.025923,60,2.492,5508,0.021,0.02,-0.05,60,-0.000257,0.000539,77.6115987,0.05,0.942,0.069,0.88,70,K00070.03,1.36,-0.026,6850504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288579967618,0.264953794643,-0.197161955021,97.7292582778,0.00168471353813,-0.00170482986013,77.6114373317,0.000158994714056,-0.000156106114332,0.0259477377229,0.000914488063824,-0.000296644864449,1.67517691335,0.20536850706,-0.571085383713,6.99209234795,0.0414391517168,-0.0423000421097,-6.70765947967e-10,7.63645506748e-07,-7.79171921932e-07,0.0,7.83863328579,6.99209234795,False,77.6115987,2.48890700238,0.0830762737255
70,0.009811,60,0.942,5508,0.021,0.02,-0.05,60,-0.000317,0.000402,19.5776286,0.05,0.942,0.041,0.88,70,K00070.05,1.36,-0.026,6850504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306257432878,0.281048359841,-0.213859947458,68.205601799,0.00623318034707,-0.00618558772038,19.5775535951,0.00014371659735,-0.000147699486316,0.00902537342987,0.000426191712883,-0.000342609840459,3.44089331136,0.900105354671,-1.25124242536,3.40472941442,0.176457962194,-0.174003035676,-5.72823120385e-08,7.65811487922e-07,-7.66579283726e-07,0.0,4.95280807808,3.40472941442,,19.5776286,0.865713819393,0.0422648967512
